zone,district
1,PortlandCentralCity
2,PortlandCentralCity
3,PortlandCentralCity
4,PortlandCentralCity
5,PortlandCentralCity
6,PortlandCentralCity
7,PortlandCentralCity
8,PortlandCentralCity
9,PortlandCentralCity
10,PortlandCentralCity
11,PortlandCentralCity
12,PortlandCentralCity
13,PortlandCentralCity
14,PortlandCentralCity
15,PortlandCentralCity
16,PortlandCentralCity
17,PortlandCentralCity
18,PortlandCentralCity
19,PortlandCentralCity
20,PortlandCentralCity
21,PortlandCentralCity
22,PortlandCentralCity
23,PortlandCentralCity
24,PortlandCentralCity
25,PortlandCentralCity
26,PortlandCentralCity
27,PortlandCentralCity
28,PortlandCentralCity
29,PortlandCentralCity
30,PortlandCentralCity
31,PortlandCentralCity
32,PortlandCentralCity
33,PortlandCentralCity
34,PortlandCentralCity
35,PortlandCentralCity
36,PortlandCentralCity
37,PortlandCentralCity
38,Rivergate
39,PortlandCentralCity
40,PortlandCentralCity
41,Beaverton
42,Beaverton
43,Beaverton
44,Beaverton
45,Beaverton
46,Beaverton
47,Beaverton
48,Rivergate
49,ColumbiaCounty
50,ColumbiaCounty
51,ColumbiaCounty
52,ColumbiaCounty
53,PortlandCentralCity
54,PortlandCentralCity
55,Beaverton
56,PortlandCentralCity
57,PortlandCentralCity
58,Beaverton
59,Beaverton
60,Beaverton
61,Beaverton
62,PortlandCentralCity
63,PortlandCentralCity
64,PortlandCentralCity
65,PortlandCentralCity
66,PortlandCentralCity
67,PortlandCentralCity
68,PortlandCentralCity
69,PortlandCentralCity
70,PortlandCentralCity
71,PortlandCentralCity
72,PortlandCentralCity
73,PortlandCentralCity
74,PortlandCentralCity
75,PortlandCentralCity
76,PortlandCentralCity
77,PortlandCentralCity
78,PortlandCentralCity
79,PortlandCentralCity
80,PortlandCentralCity
81,PortlandCentralCity
82,PortlandCentralCity
83,PortlandCentralCity
84,PortlandCentralCity
85,PortlandCentralCity
86,PortlandCentralCity
87,PortlandCentralCity
88,PortlandCentralCity
89,PortlandCentralCity
90,PortlandCentralCity
91,MilwaukietoLakeOswego
92,PortlandCentralCity
93,PortlandCentralCity
94,PortlandCentralCity
95,PortlandCentralCity
96,PortlandCentralCity
97,PortlandCentralCity
98,PortlandCentralCity
99,PortlandCentralCity
100,PortlandCentralCity
101,MilwaukietoLakeOswego
102,MilwaukietoLakeOswego
103,MilwaukietoLakeOswego
104,MilwaukietoLakeOswego
105,MilwaukietoLakeOswego
106,MilwaukietoLakeOswego
107,MilwaukietoLakeOswego
108,MilwaukietoLakeOswego
109,MilwaukietoLakeOswego
110,MilwaukietoLakeOswego
111,MilwaukietoLakeOswego
112,MilwaukietoLakeOswego
113,MilwaukietoLakeOswego
114,MilwaukietoLakeOswego
115,MilwaukietoLakeOswego
116,MilwaukietoLakeOswego
117,MilwaukietoLakeOswego
118,MilwaukietoLakeOswego
119,MilwaukietoLakeOswego
120,MilwaukietoLakeOswego
121,MilwaukietoLakeOswego
122,MilwaukietoLakeOswego
123,MilwaukietoLakeOswego
124,Rivergate
125,Rivergate
126,Rivergate
127,Rivergate
128,Rivergate
129,Rivergate
130,Rivergate
131,Rivergate
132,Rivergate
133,Rivergate
134,Rivergate
135,Rivergate
136,Rivergate
137,Rivergate
138,Gateway
139,Gateway
140,Gateway
141,Gateway
142,Gateway
143,Gateway
144,Gateway
145,Gateway
146,Gateway
147,Gateway
148,Gateway
149,Gateway
150,Gateway
151,Gateway
152,Gateway
153,Rivergate
154,Rivergate
155,Rivergate
156,Rivergate
157,Rivergate
158,Rivergate
159,Rivergate
160,Rivergate
161,Rivergate
162,Rivergate
163,PortlandCentralCity
164,PortlandCentralCity
165,Rivergate
166,Rivergate
167,Rivergate
168,Rivergate
169,Rivergate
170,Rivergate
171,Rivergate
172,Rivergate
173,Rivergate
174,Rivergate
175,PortlandCentralCity
176,PortlandCentralCity
177,PortlandCentralCity
178,PortlandCentralCity
179,PortlandCentralCity
180,PortlandCentralCity
181,PortlandCentralCity
182,PortlandCentralCity
183,PortlandCentralCity
184,PortlandCentralCity
185,PortlandCentralCity
186,PortlandCentralCity
187,PortlandCentralCity
188,PortlandCentralCity
189,PortlandCentralCity
190,PortlandCentralCity
191,PortlandCentralCity
192,PortlandCentralCity
193,PortlandCentralCity
194,PortlandCentralCity
195,PortlandCentralCity
196,PortlandCentralCity
197,PortlandCentralCity
198,PortlandCentralCity
199,PortlandCentralCity
200,PortlandCentralCity
201,PortlandCentralCity
202,PortlandCentralCity
203,PortlandCentralCity
204,PortlandCentralCity
205,PortlandCentralCity
206,PortlandCentralCity
207,PortlandCentralCity
208,PortlandCentralCity
209,PortlandCentralCity
210,PortlandCentralCity
211,PortlandCentralCity
212,PortlandCentralCity
213,PortlandCentralCity
214,PortlandCentralCity
215,PortlandCentralCity
216,PortlandCentralCity
217,PortlandCentralCity
218,PortlandCentralCity
219,PortlandCentralCity
220,PortlandCentralCity
221,PortlandCentralCity
222,PortlandCentralCity
223,PortlandCentralCity
224,PortlandCentralCity
225,PortlandCentralCity
226,PortlandCentralCity
227,PortlandCentralCity
228,PortlandCentralCity
229,PortlandCentralCity
230,PortlandCentralCity
231,PortlandCentralCity
232,PortlandCentralCity
233,PortlandCentralCity
234,MilwaukietoLakeOswego
235,Lents
236,Lents
237,PortlandCentralCity
238,PortlandCentralCity
239,Lents
240,Lents
241,Lents
242,Lents
243,PortlandCentralCity
244,PortlandCentralCity
245,Lents
246,PortlandCentralCity
247,Lents
248,Lents
249,Lents
250,Lents
251,Lents
252,Lents
253,Lents
254,Lents
255,Lents
256,Lents
257,Lents
258,Lents
259,Lents
260,Lents
261,Lents
262,Lents
263,Lents
264,Lents
265,Lents
266,Lents
267,Lents
268,Lents
269,Lents
270,Lents
271,Lents
272,Lents
273,Lents
274,Gateway
275,Gateway
276,Gateway
277,Gateway
278,Gateway
279,Gateway
280,Gateway
281,Gateway
282,Gateway
283,Lents
284,PortlandCentralCity
285,PortlandCentralCity
286,PortlandCentralCity
287,PortlandCentralCity
288,PortlandCentralCity
289,PortlandCentralCity
290,PortlandCentralCity
291,PortlandCentralCity
292,PortlandCentralCity
293,PortlandCentralCity
294,PortlandCentralCity
295,PortlandCentralCity
296,PortlandCentralCity
297,PortlandCentralCity
298,Gateway
299,Gateway
300,PortlandCentralCity
301,PortlandCentralCity
302,PortlandCentralCity
303,PortlandCentralCity
304,PortlandCentralCity
305,Gateway
306,Gateway
307,PortlandCentralCity
308,PortlandCentralCity
309,PortlandCentralCity
310,PortlandCentralCity
311,PortlandCentralCity
312,PortlandCentralCity
313,PortlandCentralCity
314,PortlandCentralCity
315,PortlandCentralCity
316,PortlandCentralCity
317,PortlandCentralCity
318,Gateway
319,Gateway
320,PortlandCentralCity
321,PortlandCentralCity
322,PortlandCentralCity
323,PortlandCentralCity
324,PortlandCentralCity
325,PortlandCentralCity
326,Rivergate
327,Rivergate
328,PortlandCentralCity
329,PortlandCentralCity
330,Gateway
331,Gateway
332,Gateway
333,Gateway
334,Gateway
335,Gateway
336,Gateway
337,Gateway
338,Gateway
339,Gateway
340,Gateway
341,Gateway
342,Gateway
343,Gateway
344,Gateway
345,Gateway
346,Gateway
347,Gateway
348,Gateway
349,Gateway
350,Gateway
351,Gateway
352,Gateway
353,Gateway
354,Gateway
355,Gateway
356,Gateway
357,Gateway
358,Gateway
359,Gateway
360,Gateway
361,FairviewtoWoodVillagetoTroutdale
362,Gateway
363,Gateway
364,Gateway
365,Gateway
366,Gateway
367,Gateway
368,Gateway
369,Gateway
370,Gateway
371,Gateway
372,Gateway
373,Gateway
374,Gateway
375,Gateway
376,Gateway
377,Gateway
378,Gateway
379,Gateway
380,Gateway
381,Gateway
382,Gateway
383,Gateway
384,Gateway
385,Gateway
386,Gateway
387,Gateway
388,Gateway
389,Gateway
390,Gateway
391,Gateway
392,Gateway
393,Gateway
394,Gateway
395,Gateway
396,Gateway
397,Gateway
398,Gateway
399,Gateway
400,Gateway
401,Gateway
402,Gateway
403,Gateway
404,Gateway
405,Gateway
